track_name,bpm,onset_rate,onset_strength_mean,onset_strength_std,zcr_mean,zcr_std,spec_cent_mean,spec_cent_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_bandwidth_mean,spec_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,tonnetz_mean_1,tonnetz_std_1,tonnetz_mean_2,tonnetz_std_2,tonnetz_mean_3,tonnetz_std_3,tonnetz_mean_4,tonnetz_std_4,tonnetz_mean_5,tonnetz_std_5,tonnetz_mean_6,tonnetz_std_6,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13
c3_5_ldl.wav,120.185,1357.761,1.205,1.404,0.065,0.039,3460.768,1336.610,17.264,6.354,7475.696,2678.928,3841.652,739.839,0.009535,0.014197,0.078,0.051,0.022,0.040,-0.050,0.069,0.025,0.055,0.008,0.020,0.019,0.028,0.436,0.361,0.387,0.310,0.367,0.351,0.379,0.611,0.691,1.000,0.794,0.437,118.613,30.500,-22.041,12.886,47.779,13.256,-11.691,11.845,19.910,9.794,-8.174,11.626,19.272,7.918,-1.232,8.907,10.372,6.930,-3.305,8.150,8.396,8.094,3.798,8.882
c1_2_ame.wav,126.048,1339.972,1.015,0.744,0.069,0.025,2717.365,490.214,16.729,6.371,5345.751,1023.490,2897.471,299.250,0.002826,0.002392,0.060,0.075,-0.008,0.062,0.007,0.039,0.023,0.106,-0.004,0.031,-0.006,0.031,0.706,0.687,1.000,0.836,0.904,0.551,0.477,0.522,0.653,0.713,0.633,0.704,147.398,15.964,-64.371,10.213,35.328,11.483,-15.144,11.251,18.552,10.893,0.550,9.179,3.128,9.615,2.685,8.948,8.025,10.022,-2.150,7.162,6.840,8.276,0.912,7.742
c5_5_bfr.wav,123.047,1252.924,1.131,0.966,0.059,0.032,3147.694,986.390,16.700,6.066,7202.065,2326.901,3882.411,637.134,0.007090,0.009203,0.076,0.054,0.006,0.053,-0.039,0.063,0.041,0.064,0.002,0.023,0.013,0.029,0.709,0.721,0.758,0.691,0.726,0.561,0.436,0.575,0.709,1.000,0.819,0.587,132.369,26.856,-12.606,15.468,39.744,12.175,-17.213,14.120,23.201,12.889,-11.441,9.109,16.193,8.051,-4.487,7.817,4.063,6.162,-5.209,7.171,7.533,6.657,-0.654,7.141
c8_s2_.wav,120.185,1301.984,1.349,1.537,0.036,0.035,2901.636,1337.627,16.959,6.560,6622.135,2875.580,3867.007,725.982,0.005095,0.009167,-0.055,0.036,0.002,0.027,-0.018,0.043,-0.021,0.047,0.017,0.015,0.005,0.018,0.671,0.928,0.861,1.000,0.736,0.746,0.789,0.750,0.808,0.824,0.937,0.608,120.765,29.514,-1.388,11.743,50.887,13.001,-7.557,9.213,28.934,8.952,4.198,7.815,18.666,8.797,-0.217,9.197,7.792,7.294,2.110,7.425,10.013,7.308,2.488,7.687
c9_s7_.wav,123.047,1281.197,1.603,2.169,0.059,0.055,4867.753,1657.859,16.120,5.516,10505.470,2134.974,4986.391,625.195,0.019108,0.033309,0.028,0.018,0.002,0.039,-0.030,0.055,0.089,0.033,0.032,0.020,0.007,0.007,0.558,0.662,0.551,0.662,1.000,0.920,0.512,0.423,0.269,0.266,0.246,0.311,57.257,30.532,13.518,28.293,58.741,22.016,-2.184,14.505,38.127,12.684,11.427,7.347,22.748,10.483,8.862,7.286,14.112,7.886,9.848,6.445,9.225,6.395,5.503,5.482
x_s16_.wav,99.384,1310.991,1.147,1.275,0.053,0.048,3272.482,1834.545,17.614,5.144,7195.356,4525.624,4474.449,1112.565,0.008869,0.017754,0.152,0.130,0.101,0.124,-0.101,0.177,0.020,0.161,0.008,0.059,0.015,0.076,0.586,0.441,0.587,0.417,0.560,0.664,0.431,0.587,0.550,1.000,0.825,0.492,129.810,39.665,28.729,24.211,21.558,14.279,-3.772,12.251,16.783,10.768,-3.028,9.570,15.615,10.780,-1.849,8.686,-2.081,8.863,-0.685,8.396,2.519,8.073,-6.044,9.035
c9_s12_.wav,120.185,1274.736,1.343,1.736,0.063,0.055,3770.312,1854.348,17.569,6.772,8147.576,3582.923,4133.045,1085.990,0.014136,0.026667,0.062,0.045,0.042,0.034,-0.028,0.061,-0.023,0.065,-0.018,0.018,-0.009,0.023,0.756,0.744,1.000,0.571,0.418,0.464,0.406,0.630,0.802,0.906,0.753,0.686,111.534,35.514,-6.786,24.812,47.975,15.901,-8.543,13.349,24.412,10.946,-5.069,9.875,16.564,9.252,-1.352,8.771,1.081,10.365,-3.124,9.998,1.730,7.733,4.112,8.647
c11_s6_.wav,120.185,1283.967,1.922,2.941,0.024,0.020,2488.242,1627.677,18.340,6.105,5955.406,4669.725,3780.162,1343.262,0.001651,0.002807,0.029,0.057,0.095,0.077,0.070,0.092,-0.013,0.065,0.029,0.048,0.001,0.037,0.699,0.506,0.574,0.605,0.614,0.654,0.674,1.000,0.699,0.506,0.641,0.487,129.129,40.307,39.369,43.659,35.783,19.122,-0.260,19.267,29.410,14.153,-1.759,14.054,21.945,9.973,0.852,9.642,13.104,7.797,1.339,8.279,6.467,8.314,2.913,7.852
c9_s4_.wav,123.047,1287.711,1.320,1.853,0.059,0.057,3828.820,1952.663,19.187,7.535,8155.117,3365.646,4196.469,928.458,0.014269,0.026798,0.038,0.033,0.048,0.045,-0.049,0.034,0.010,0.088,-0.015,0.021,0.015,0.025,0.658,0.637,0.707,0.735,0.626,0.681,0.554,0.682,0.756,1.000,0.856,0.556,88.981,42.661,-6.181,20.042,53.417,11.373,-3.863,9.246,34.299,7.822,7.759,7.140,22.369,6.542,10.219,8.717,17.132,5.822,16.032,7.550,13.749,5.848,6.504,7.331
c9_s5_.wav,123.047,1293.377,1.627,2.986,0.045,0.060,2750.079,1758.616,16.491,7.333,5739.924,3136.523,3238.263,820.354,0.005556,0.014765,0.035,0.045,0.013,0.041,0.025,0.047,0.046,0.046,-0.004,0.015,-0.006,0.016,0.589,0.489,0.583,0.749,0.910,0.968,0.797,0.913,1.000,0.762,0.581,0.612,93.623,41.753,-33.450,29.471,48.564,28.727,11.559,22.047,40.673,16.328,17.645,15.045,31.212,10.968,16.922,10.787,18.630,7.831,16.572,11.075,13.855,6.218,12.504,7.067
